pH,Turbidity,Temperature,TDS,WQI_Class
6.99816047538945,10.058761614443974,39.10111730215449,372.82870056065303,Medium
9.302857225639665,4.00317012644828,5.601054673182934,898.1250057086476,Avg
8.42797576724562,23.722658992226165,38.16780785783811,1281.4232580133203,Avg
7.894633936788146,0.49846173672592475,17.903709834720065,801.5360811101382,Medium
6.124074561769746,4.238307721316659,5.353164175765853,747.3190750885968,Medium
6.123978081344811,40.381293478148756,29.120503110357788,51.9480349205382,Medium
5.732334448672798,38.57366724298032,39.318910641097396,1618.3722543653726,Not good
8.96470458309974,45.7569410202448,38.79690029931574,1784.2083434418241,Dangerous
7.904460046972835,42.725771795537476,10.632795392084645,1940.4538826143728,Not good
8.332290311184181,34.1587781619909,11.343673212315425,1452.5792008849703,Not good
5.58233797718321,2.6166428650331417,24.793862011688105,1120.1450091212748,Medium
9.379639408647977,39.14243089933287,27.305668924991355,575.1048136269833,Avg
8.829770563201688,42.275540542028025,30.879626978305296,1998.633978128822,Not good
6.349356442713105,39.954107288597726,11.336762616525164,1200.018066337606,Avg
6.2272998688284025,25.423951765401302,38.56524803675521,1378.25044104437,Avg
6.233618039413735,11.645091932474083,27.355873970123326,1380.6920158128694,Medium
6.716968971838151,42.26649878443634,34.64664216046942,1698.2410017265038,Avg
7.599025726528952,36.35814048700692,23.902300034946013,68.86145075149246,Medium
7.227780074568463,49.03805871944258,19.49968966564589,479.48153384117506,Medium
6.664916560792168,7.784629887796646,39.201401730824855,1347.7913003315273,Medium
7.947411578889518,11.283229152602752,25.374247978694264,1795.5341868079072,Medium
6.057975442608168,10.589907494075135,35.340575397971264,1386.4106247466445,Avg
6.668578594140873,39.62698838106684,38.36523387282015,856.3080184126762,Avg
6.965447373174767,9.345364822505909,28.63741194530307,755.0332169470101,Good
7.324279936868144,3.3329914911653047,24.212853748153623,1488.9986161524748,Good
8.640703845572055,49.92804032928143,5.122879781872772,1495.4135094175272,Dangerous
6.2986951286334385,1.2408605722574573,6.400687425865209,1233.7630853860962,Avg
7.556937753654447,41.762203007943285,12.029792561789073,618.3606969898073,Avg
7.86965827544817,18.26834207753264,11.510295114959835,1854.05189586156,Avg
5.685801650879991,42.08077298789076,13.916557831994588,1126.1658871313462,Not good
7.9301794076057535,27.73102456055725,15.672712319418128,1591.4600946842447,Avg
6.182096494749166,45.08156147431801,17.60229227427549,467.9011112155717,Avg
5.760206371941118,46.30964932073133,19.71881915241068,720.8795377987193,Avg
9.295542149013333,0.4549090640387998,8.460321845960515,1755.4300569553177,Not good
9.362528132298237,3.7706087996394135,6.482667618347371,147.7087083829384,Avg
8.733589392465845,12.517936478542774,28.588055717555818,1049.014856950491,Avg
6.718455076693482,33.46577081817508,23.80671886950772,989.3256856958176,Medium
5.8906884560255355,44.4136098255753,20.545047077704186,1514.89886837076,Not good
8.236932106048627,22.997097564698137,27.205397940892333,599.6928526686982,Medium
7.260609974958405,30.348655813713272,33.968779252123916,477.180302626219,Medium
5.988152939379115,9.424992639778058,19.96925181906716,1855.9590356078058,Avg
7.480707640445081,40.24834169408427,27.439181276819276,1164.8338213190063,Medium
5.637554084460874,48.36640556767349,38.37502783423056,254.14465815312627,Not good
9.137281608315128,13.429946645729874,34.386857355154625,426.4205163179261,Avg
6.535119926400068,24.741297580027314,19.91002836758433,1997.7108160527841,Avg
8.150089137415929,4.30580552531869,27.565089323516005,431.4375426917752,Medium
6.746844304357644,27.95683282314842,11.197482267057891,1240.4272471396735,Medium
7.580272084711243,25.13917209233403,24.618276471328144,869.2497540414553,Medium
7.686841117373119,7.22182420775388,39.3464901898455,1776.9182349571788,Avg
6.239417822102109,22.10331065590375,23.14102903208828,1522.578754975889,Medium
9.378338511058235,16.705232604328163,37.467340471655156,1214.0552227105409,Not good
8.600531293444458,26.091543765259466,19.256722217614126,70.94101450606587,Avg
9.257995766256757,29.282716771439958,39.95956895146209,1765.6006546122462,Not good
9.079309401710596,0.4247789303604754,25.272701232964526,917.1015681354967,Medium
7.89159991524434,38.050299147477766,6.479414798257709,1866.5764233862242,Not good
